product_name,Negative,Neutral,Positive,total_reviews,pct_positive,pct_negative
B000VKA92I,1,0,3,4,75.0,25.0
B000VK6TKO,0,3,1,4,25.0,0.0
B000VK4K2S,0,0,4,4,100.0,0.0
B005VOOM2W,0,0,4,4,100.0,0.0
B002D4DY8G,1,1,2,4,50.0,25.0
B002DLXXHG,1,0,3,4,75.0,25.0
B0043WOANY,0,0,4,4,100.0,0.0
B004770OLM,0,1,3,4,75.0,0.0
B002GJ9JWS,0,1,3,4,75.0,0.0
B002HFPW6I,0,1,3,4,75.0,0.0
B005VOOLXM,0,0,4,4,100.0,0.0
B005VOOL00,2,0,2,4,50.0,50.0
B000X1Q1G8,4,0,0,4,0.0,100.0
B000YSS7EO,0,0,4,4,100.0,0.0
B00139TT72,0,0,4,4,100.0,0.0
B005K4Q1VI,0,0,4,4,100.0,0.0
B005P6TCGW,2,0,2,4,50.0,50.0
B00141UC9I,1,0,3,4,75.0,25.0
B00158U8DU,1,0,3,4,75.0,25.0
B0019QT66I,1,0,3,4,75.0,25.0
B001AHFVHO,0,0,4,4,100.0,0.0
B005BRHVD6,1,0,3,4,75.0,25.0
B005GRCWDU,0,0,4,4,100.0,0.0
B005HUVI40,1,0,3,4,75.0,25.0
B00248EE4O,0,0,4,4,100.0,0.0
B00271OPVU,0,0,4,4,100.0,0.0
B0027Z8VES,0,0,4,4,100.0,0.0
B0029NIIKK,0,0,4,4,100.0,0.0
B0029XLH4Y,0,0,4,4,100.0,0.0
B002AQ0OW6,1,1,2,4,50.0,25.0
B005HG9ET0,0,0,4,4,100.0,0.0
B0001ES9FI,0,1,3,4,75.0,0.0
B001BDDTB2,0,1,3,4,75.0,0.0
B0009YJ4CW,0,0,4,4,100.0,0.0
B001CTYT6E,0,1,3,4,75.0,0.0
B001D09KAM,0,1,3,4,75.0,0.0
B001SAXPEO,0,0,4,4,100.0,0.0
B004E4EBMG,0,1,3,4,75.0,0.0
B004EE2UR4,0,0,4,4,100.0,0.0
B004EDZ87Y,0,1,3,4,75.0,0.0
B004E4HUMY,0,0,4,4,100.0,0.0
B004FELBH8,0,0,4,4,100.0,0.0
B001D0IZBM,0,1,3,4,75.0,0.0
B004X3VRLG,0,1,3,4,75.0,0.0
B004YGQPAK,1,0,3,4,75.0,25.0
B00503DP0O,0,0,4,4,100.0,0.0
B004ZWRA6G,0,1,3,4,75.0,0.0
B0052OUAOK,0,0,4,4,100.0,0.0
B0058AMYTC,1,0,3,4,75.0,25.0
B0058AMY5G,1,0,3,4,75.0,25.0
B0058AMY10,0,1,3,4,75.0,0.0
B001D9RVMM,1,0,3,4,75.0,25.0
B001E50THY,0,0,4,4,100.0,0.0
B001E4Q5GO,0,1,3,4,75.0,0.0
B001E5DXEU,0,0,4,4,100.0,0.0
B001E7654S,0,0,4,4,100.0,0.0
B001EO5UVK,0,1,3,4,75.0,0.0
B00020HHK4,0,1,3,4,75.0,0.0
B00020HHE0,1,2,1,4,25.0,25.0
B001NXM3GM,0,0,4,4,100.0,0.0
B001OCKIBY,0,0,4,4,100.0,0.0
B0007A0AQM,0,1,3,4,75.0,0.0
B001PMDYXW,1,0,3,4,75.0,25.0
B001QE7J2G,0,1,3,4,75.0,0.0
B001EQ4RBM,0,1,3,4,75.0,0.0
B004JGQ15Y,0,1,3,4,75.0,0.0
B004OW342G,0,1,3,4,75.0,0.0
B004QDA8WC,0,0,4,4,100.0,0.0
B004TJF3BE,1,1,2,4,50.0,25.0
B004T3QMD8,0,1,3,4,75.0,0.0
B001HXNIPS,0,1,3,4,75.0,0.0
B001IZM92S,0,0,4,4,100.0,0.0
B001LQCOIS,0,1,3,4,75.0,0.0
B001LGGH54,0,1,3,4,75.0,0.0
B001LGGH40,0,0,4,4,100.0,0.0
B001LFEUCM,0,1,3,4,75.0,0.0
B001M050CA,0,0,4,4,100.0,0.0
B004HOLD4W,1,0,3,4,75.0,25.0
B001F0RRTQ,1,0,3,4,75.0,25.0
B000812K0O,0,0,4,4,100.0,0.0
B0007XPS98,0,0,4,4,100.0,0.0
B001HYB2P0,0,1,3,4,75.0,0.0
B00004RYGX,0,0,4,4,100.0,0.0
B000EVQWKC,0,1,3,4,75.0,0.0
B000084ETV,2,0,2,4,50.0,50.0
B000084EZ4,1,1,2,4,50.0,25.0
B000EQT9MK,1,2,1,4,25.0,25.0
B000EQT4MA,0,0,4,4,100.0,0.0
B000ESLJ6C,0,0,4,4,100.0,0.0
B000EVMNP0,0,0,4,4,100.0,0.0
B000EZOP1G,0,1,2,3,66.66666666666666,0.0
B008YA1NWC,0,0,3,3,100.0,0.0
B008XOKY1U,0,0,3,3,100.0,0.0
B008O3G2K2,0,0,3,3,100.0,0.0
B008RWUHA6,0,0,3,3,100.0,0.0
B000EVOSH6,0,0,3,3,100.0,0.0
B000E283KS,0,0,3,3,100.0,0.0
B000EVG8H4,0,0,3,3,100.0,0.0
B000EQYW0E,0,0,3,3,100.0,0.0
B000ER5CVQ,0,0,3,3,100.0,0.0
B003C5TCYU,0,0,3,3,100.0,0.0
B003EML8PM,0,0,3,3,100.0,0.0
B003DVMYUW,0,0,3,3,100.0,0.0
B003G1ZRTY,0,1,2,3,66.66666666666666,0.0
B003IMSFI6,0,0,3,3,100.0,0.0
B003NZHOQ2,0,1,2,3,66.66666666666666,0.0
B0002I0GUY,0,1,2,3,66.66666666666666,0.0
B009M2LUEW,0,1,2,3,66.66666666666666,0.0
B008EG5ADY,0,0,3,3,100.0,0.0
B008EG58V8,0,0,3,3,100.0,0.0
B008K9TJDM,0,1,2,3,66.66666666666666,0.0
B000FL3IM6,1,0,2,3,66.66666666666666,33.33333333333333
B000FNH1C2,0,0,3,3,100.0,0.0
B000FPJ6QO,0,0,3,3,100.0,0.0
B000FW0NIC,0,0,3,3,100.0,0.0
B000G6MBUA,0,0,3,3,100.0,0.0
B001M05070,0,0,3,3,100.0,0.0
B004HOOZEW,0,0,3,3,100.0,0.0
B004HOLD92,0,0,3,3,100.0,0.0
B004HOLD60,1,0,2,3,66.66666666666666,33.33333333333333
